Absolute value: equality	|x|=a\\\hspace{20}x=-a\\\hspace{20}x=a
Absolute value: greater than	|x|>a\\\hspace{20}x<-a\\\hspace{20}x>a
Absolute value: less than	|x|<a\\\hspace{20}-a<x<a
Addition of fractions	\frac{a}{b}+\frac{c}{d}=\frac{ad+bc}{bd}
Approximate integration: midpoint rule	\int_a^b{f(x)}dx\approx\Delta{x}\left[f(\bar{x}_1)+f(\bar{x}_2)+\cdot\cdot\cdot+f(\bar{x}_n)\right]\\\Delta{x}=\frac{b-a}{n}\\\bar{x}_i=\frac{1}{2}(x_{i-1}+x_i)=midpoint\hspace{5}of\hspace{5}[x_{i-1},x_i]
Approximate integration: Simpson's rule	\int_a^b{f(x)}dx\approx\frac{\Delta{x}}{3}[f(x_0)+4f(x_1)+2f(x_2)+4f(x_3)+\cdot\cdot\cdot\\\hspace{50}+2f(x_{n-2})+4f(x_{n-1})+f(x_n)]\\n\hspace{5}is\hspace{5}even\hspace{5}and\hspace{5}\Delta{x}=\frac{(b-a)}{n}
Approximate integration: trapezoidal rule	\int_a^b{f(x)}dx\approx\frac{\Delta{x}}{2}[f(x_0)+2f(x_1)+2f(x_2)\\\hspace{50}+\cdot\cdot\cdot+2f(x_{n-1})+f(x_n)]\\\Delta{x}=\frac{b-a}{n}\hspace{5}and\hspace{5}x_i=a+i\Delta{x}
Arc length in polar coordinates	L=\int_a^b{sqrt{r^2+\(\frac{dr}{d\theta}\)}}d\theta
Arc length integral	L=\int_a^b{sqrt{1+\(\frac{dy}{dx}\)^2}}dx\\L=\int_c^d{sqrt{1+\(\frac{dx}{dy}\)^2}}dy
Arc length of a parametric equation	L=\int_a^b{sqrt{\(\frac{dx}{dt}\)^2+\(\frac{dy}{dt}\)^2}}dt
Arc length of a parametric equation (3D)	L=\int_a^b{sqrt{\(\frac{dx}{dt}\)^2+\(\frac{dy}{dt}\)^2+\(\frac{dz}{dt}\)^2}}dt
Area in polar coordinates	A=\int_a^b{\frac{1}{2}\cdot[{r}(\theta)}]^2d\theta\\A=\int_a^b{\frac{1}{2}{\cdot}\[r_1(\theta)^2-r_2(\theta)^2\]}d\theta
Area of a circle	A={\pi}r^2\hspace{20}\picture(80,80){(40,40){\circle(80)}(40,40){\line(40)}(60,45){r}(40,37){\bullet}}
Area of a parallelogram	A=base\hspace{5}{\times}\hspace{5}height
Area of a rectangle	A=length\hspace{5}{\times}\hspace{5}width
Area of a square	A=side^2
Area of a trapezoid	\frac{height\hspace{5}{\times}\hspace{5}(base_1+base_2)}{2}
Area of a triangle	\left\sp{A}=\frac{1}{2}bh\\A=\frac{1}{2}ab\sin(\theta)\right\sp\hspace{20}\picture(110,70){(0,20){\line(110)}(80,20){\line(0,40)}(0,20){\line(80,40)}(110,20){\line(-30,40)}(33,45){a}(47,3){b}(32,22){\theta}(67,30){h}}
Area under a parametric equation	A=\int_a^b{y(t)x'(t)}dt
Arithmetic partial sum	S_n=n\cdot\(\frac{a_1+a_n}{2}\)
Associative law for addition	(a+b)+c=a+(b+c)
Associative law for multiplication	(ab)c=a(bc)
Average of a set of numbers	avg.=\frac{a_1+a_2+a_3+...}{n}
Average value of a function	f_{avg}=\frac{1}{b-a}\int_a^b{f(x)}dx
Binomial series	(1+x)^k=\sum_{n=0}^{\infty}\(k\\n\)x^n=1+kx+\frac{k(k-1)}{2!}x^2\\\hspace{80}+\frac{k(k-1)(k-2)}{3!}x^3+\cdot\cdot\cdot\\|x|<1
Binomial theorem (FOIL)	(x+y)^2=x^2+2xy+y^2
Binomial theorem (general)	(x+y)^n=x^n+n{\cdot}x^{(n-1)}{\cdot}y+\frac{n(n-1)}{2}{\cdot}x^{(n-2)}{\cdot}y^2\\\hspace{65}+\cdot\cdot\cdot+\(n\\k\){\cdot}x^{(n-k)}{\cdot}y^k+\cdot\cdot\cdot+n{\cdot}x{\cdot}y^{(n-1)}+y^n\\\(n\\k\)=\frac{n(n-1)\cdot\cdot\cdot(n-k+1)}{1\cdot2\cdot3\cdot\cdot\cdot{k}}
Center of mass	\bar{x}=\frac{1}{A}\int_a^b{xf(x)}dx\\\bar{y}=\frac{1}{A}\int_a^b{\frac{1}{2}[f(x)]^2}dx
Change of variables in a double integral	\int_R\int{f(x,y)}dA=\int_S\int{f(x(u,v),{\hspace{5}}y(u,v))\|\frac{\delta(x,y)}{\delta(u,v)}\|}dudv
